,elapsed_timestamp,elapsed_time,timestamp,right_wrist_angle,right_wrist_x_pos,right_wrist_y_pos,right_wrist_z_pos,right_elbow_angle,right_elbow_x_pos,right_elbow_y_pos,right_elbow_z_pos,right_shoulder_angle,right_shoulder_x_pos,right_shoulder_y_pos,right_shoulder_z_pos,left_wrist_angle,left_wrist_x_pos,left_wrist_y_pos,left_wrist_z_pos,left_elbow_angle,left_elbow_x_pos,left_elbow_y_pos,left_elbow_z_pos,left_shoulder_angle,left_shoulder_x_pos,left_shoulder_y_pos,left_shoulder_z_pos,middle_hip_angle,middle_shoulder_angle
0,0.0,0.0,0:00.000,165.92666666666665,152,1164,-0.3138727843761444,178.18666666666664,191,981,-0.19324707984924316,41.23666666666667,242,766,-0.23146948218345642,139.28,591,1167,-0.41948577761650085,169.71666666666667,577,975,-0.29513534903526306,37.160000000000004,534,742,-0.29579609632492065,87.68293761412868,94.36895294574207
1,33.0,0.033,0:00.033,166.1525,152,1165,-0.26704761385917664,178.185,191,982,-0.1492501199245453,41.0475,242,766,-0.2055521160364151,139.05,591,1167,-0.40196719765663147,169.845,577,978,-0.28631454706192017,37.2875,534,744,-0.29084423184394836,87.68626312944646,94.29811890430027
2,67.0,0.067,0:00.067,166.352,151,1166,-0.2607854902744293,178.174,191,983,-0.14151141047477722,40.914,242,766,-0.20029215514659882,138.83800000000002,592,1167,-0.40186232328414917,169.94,577,980,-0.2852720022201538,37.378,535,745,-0.29032719135284424,87.68825843863712,94.29438782948925
3,100.0,0.1,0:00.100,166.82600000000002,151,1166,-0.2654275894165039,178.17000000000002,191,983,-0.14510808885097504,40.586,241,766,-0.2020329236984253,138.49200000000002,592,1167,-0.40426012873649597,170.14,577,981,-0.289993554353714,37.6,535,745,-0.2931799590587616,87.756684113635,94.17177508202435
4,133.0,0.133,0:00.133,167.262,152,1167,-0.2684343457221985,178.054,191,983,-0.14634355902671814,40.416000000000004,241,767,-0.20351853966712952,138.1,592,1166,-0.40911030769348145,170.304,577,981,-0.2927614450454712,37.698,535,745,-0.29553329944610596,87.82736508399887,94.12716545471434
5,167.0,0.167,0:00.167,167.67200000000003,152,1167,-0.2623612880706787,177.88799999999998,191,983,-0.13637465238571167,40.298,241,767,-0.19630570709705353,137.704,592,1166,-0.40884533524513245,170.47799999999998,577,981,-0.2868455946445465,37.73,535,746,-0.2917303740978241,87.90027575129321,94.12438613002895
6,200.0,0.2,0:00.200,168.072,152,1167,-0.2670341432094574,177.7,190,983,-0.14244285225868225,40.194,241,767,-0.19884566962718964,137.382,592,1165,-0.40902361273765564,170.65,577,981,-0.28974485397338867,37.732000000000006,535,746,-0.2933802902698517,87.96829630940286,94.08559803285013
7,233.0,0.233,0:00.233,168.524,152,1167,-0.2695075571537018,177.474,190,983,-0.14429984986782074,40.05,241,767,-0.2002873420715332,137.08,592,1165,-0.40917670726776123,170.884,577,981,-0.29001593589782715,37.709999999999994,535,746,-0.29371482133865356,88.03854656444298,94.00541022737062
8,267.0,0.267,0:00.267,168.87600000000003,152,1167,-0.26744115352630615,177.24200000000002,190,983,-0.14556074142456055,39.902,241,766,-0.20055779814720154,136.81400000000002,592,1165,-0.40723592042922974,171.174,577,981,-0.2896633446216583,37.647999999999996,535,746,-0.2925025522708893,88.10991446007188,93.96399177194519
9,300.0,0.3,0:00.300,169.166,152,1167,-0.26163092255592346,177.074,190,983,-0.14056436717510223,39.766000000000005,241,766,-0.19482704997062683,136.556,592,1165,-0.4011533260345459,171.512,577,982,-0.28232046961784363,37.548,536,746,-0.2851731479167938,88.17902706033479,93.92257331651976
10,333.0,0.333,0:00.333,169.35399999999998,152,1167,-0.2594451606273651,176.97000000000003,190,983,-0.13611479103565216,39.63,241,766,-0.19077008962631226,136.304,592,1165,-0.396957665681839,171.848,576,982,-0.2730751633644104,37.452000000000005,536,746,-0.27596110105514526,88.24590996366722,93.88115486109432
11,367.0,0.367,0:00.367,169.494,152,1167,-0.2582450807094574,176.92000000000002,190,983,-0.13399675488471985,39.504,241,766,-0.1883447915315628,136.084,592,1165,-0.3934021294116974,172.17400000000004,576,982,-0.26833534240722656,37.352,536,746,-0.27152305841445923,88.37825093596184,93.87852450284771
12,400.0,0.4,0:00.400,169.506,153,1167,-0.25536417961120605,176.928,190,983,-0.13141697645187378,39.436,241,766,-0.18595798313617706,135.87400000000002,592,1165,-0.39125266671180725,172.44,575,982,-0.266536682844162,37.251999999999995,536,746,-0.2694704830646515,88.50836221132599,93.87852450284771
13,433.0,0.433,0:00.433,169.53000000000003,153,1167,-0.25631794333457947,176.962,190,983,-0.13252925872802734,39.38,241,766,-0.18750959634780884,135.69,592,1165,-0.39225706458091736,172.63199999999998,575,982,-0.26803067326545715,37.188,536,746,-0.27083584666252136,88.5715905833577,93.87852450284771
