,elapsed_timestamp,elapsed_time,timestamp,right_wrist_angle,right_wrist_x_pos,right_wrist_y_pos,right_wrist_z_pos,right_elbow_angle,right_elbow_x_pos,right_elbow_y_pos,right_elbow_z_pos,right_shoulder_angle,right_shoulder_x_pos,right_shoulder_y_pos,right_shoulder_z_pos,left_wrist_angle,left_wrist_x_pos,left_wrist_y_pos,left_wrist_z_pos,left_elbow_angle,left_elbow_x_pos,left_elbow_y_pos,left_elbow_z_pos,left_shoulder_angle,left_shoulder_x_pos,left_shoulder_y_pos,left_shoulder_z_pos,middle_hip_angle,middle_shoulder_angle
0,0.0,0.0,0:00.000,169.2433333333333,655,1105,0.36360448598861694,160.25333333333333,722,920,0.44806984066963196,4.776666666666666,771,708,0.35519537329673767,167.64333333333332,712,1172,-0.5114964246749878,148.03,803,930,-0.5361533164978027,10.746666666666668,811,692,-0.42469552159309387,29.43843856070123,141.41617044639335
1,33.0,0.033,0:00.033,169.09249999999997,690,1105,0.32253292202949524,158.8625,769,926,0.4037710726261139,4.352499999999999,799,706,0.30858877301216125,167.4125,712,1173,-0.4519142806529999,147.5475,801,931,-0.5299190878868103,11.31,803,692,-0.44347989559173584,31.743780984048442,138.71245149604613
2,67.0,0.067,0:00.067,169.17199999999997,695,1102,0.3203161060810089,157.882,774,929,0.3979794383049011,4.081999999999999,808,705,0.3000684678554535,167.212,712,1173,-0.44663289189338684,147.21,801,931,-0.5258530974388123,11.687999999999999,800,692,-0.4472617208957672,33.467932101858224,136.01347979047546
3,100.0,0.1,0:00.100,168.07199999999997,694,1101,0.32424938678741455,154.652,776,932,0.4026273787021637,2.4059999999999997,812,704,0.30740055441856384,166.784,712,1173,-0.4375026822090149,146.372,800,931,-0.5160336494445801,12.684,798,692,-0.44516777992248535,30.89631406725859,138.10832675612065
4,133.0,0.133,0:00.133,168.834,693,1101,0.32546305656433105,154.1,777,933,0.40503746271133423,2.604,814,704,0.3123941421508789,166.542,712,1173,-0.4245365560054779,145.988,800,931,-0.5069153904914856,13.098000000000003,797,692,-0.4423074424266815,39.102007803934654,129.31112250067767
5,167.0,0.167,0:00.167,169.442,694,1100,0.3258243799209595,153.536,779,933,0.4043281674385071,2.582,815,704,0.31171250343322754,166.29199999999997,711,1173,-0.42946282029151917,145.808,799,931,-0.5075075030326843,13.284,796,692,-0.4411623775959015,43.098629108314654,124.67614154356602
6,200.0,0.2,0:00.200,169.82800000000003,696,1100,0.32273411750793457,153.182,780,934,0.39964011311531067,2.468,814,703,0.3095146119594574,166.14000000000001,711,1173,-0.4299614429473877,145.698,799,931,-0.5073526501655579,13.392000000000001,795,692,-0.44040462374687195,44.676298997292236,123.1369311991627
7,233.0,0.233,0:00.233,169.844,696,1100,0.320952445268631,152.07999999999998,779,934,0.3984881341457367,2.034,812,703,0.3092533051967621,166.002,711,1172,-0.4326390326023102,145.542,799,929,-0.5084002614021301,13.512,795,691,-0.4397474229335785,46.80519287417167,121.64512072573616
8,267.0,0.267,0:00.267,169.61399999999998,695,1099,0.32109710574150085,150.46599999999995,778,933,0.39843183755874634,2.152,812,702,0.3078237473964691,165.86,710,1171,-0.4341355264186859,145.32999999999998,799,928,-0.5092300176620483,13.706,795,691,-0.43932947516441345,49.05258172604062,120.28266087519496
9,300.0,0.3,0:00.300,168.94199999999998,700,1100,0.30711090564727783,149.108,787,935,0.38687315583229065,2.056,813,702,0.29479318857192993,165.73200000000003,710,1171,-0.4326831102371216,145.05,798,929,-0.5128301382064819,13.951999999999998,794,692,-0.4479784667491913,50.46497470515308,119.58195454623805
