,elapsed_timestamp,elapsed_time,timestamp,right_wrist_angle,right_wrist_x_pos,right_wrist_y_pos,right_wrist_z_pos,right_elbow_angle,right_elbow_x_pos,right_elbow_y_pos,right_elbow_z_pos,right_shoulder_angle,right_shoulder_x_pos,right_shoulder_y_pos,right_shoulder_z_pos,left_wrist_angle,left_wrist_x_pos,left_wrist_y_pos,left_wrist_z_pos,left_elbow_angle,left_elbow_x_pos,left_elbow_y_pos,left_elbow_z_pos,left_shoulder_angle,left_shoulder_x_pos,left_shoulder_y_pos,left_shoulder_z_pos,middle_hip_angle,middle_shoulder_angle
0,0.0,0.0,0:00.000,168.66333333333333,494,1171,-0.5128116011619568,155.32666666666668,403,955,-0.574257493019104,3.4133333333333336,380,718,-0.4927551746368408,175.9333333333333,399,1163,0.26730045676231384,158.00333333333333,364,980,0.2994511127471924,1.7966666666666669,357,729,0.23789416253566742,92.61777110065941,47.20375065224027
1,33.0,0.033,0:00.033,167.91750000000002,496,1171,-0.44788920879364014,155.8125,410,958,-0.5194974541664124,3.725,382,718,-0.4423239827156067,176.23,440,1159,0.2999286949634552,157.355,383,978,0.35906288027763367,1.5175,371,726,0.30564960837364197,91.96332832549456,44.28723243717379
2,67.0,0.067,0:00.067,167.37600000000003,497,1171,-0.4462100565433502,156.14600000000002,413,960,-0.5096990466117859,3.9480000000000004,383,718,-0.4313983917236328,176.182,448,1157,0.30443161725997925,156.932,391,976,0.36295244097709656,1.308,380,725,0.3089672923088074,90.53177687884869,40.06950405246867
3,100.0,0.1,0:00.100,165.85600000000002,498,1171,-0.4346476197242737,157.088,414,962,-0.5054450631141663,4.578,382,717,-0.43121328949928284,175.70999999999998,450,1155,0.29828697443008423,155.292,396,976,0.3598668873310089,0.5700000000000001,387,724,0.30621054768562317,88.08137314745395,29.07396152843856
4,133.0,0.133,0:00.133,165.23000000000002,499,1171,-0.43941861391067505,157.622,415,963,-0.5116249918937683,4.936,382,717,-0.4365304410457611,176.076,451,1155,0.29501673579216003,155.45999999999998,396,975,0.35988447070121765,0.41200000000000003,385,724,0.3061685264110565,88.08137314745395,20.54142270026332
5,167.0,0.167,0:00.167,164.77,499,1171,-0.44231778383255005,157.902,416,963,-0.5128019452095032,5.172000000000001,383,717,-0.4369267523288727,176.00799999999998,450,1154,0.2976721525192261,155.58599999999998,395,975,0.36462482810020447,0.388,384,723,0.3090568780899048,88.08137314745395,18.163691092337718
6,200.0,0.2,0:00.200,164.398,501,1171,-0.44019031524658203,158.174,417,964,-0.5095885992050171,5.426,383,718,-0.4343191683292389,175.762,449,1154,0.296235591173172,155.688,394,975,0.3617558777332306,0.392,382,723,0.3082939088344574,88.08137314745393,13.31814202874688
7,233.0,0.233,0:00.233,164.132,502,1171,-0.42939889430999756,158.422,418,966,-0.5103243589401245,5.664,383,718,-0.4380485415458679,175.73,449,1154,0.2892797291278839,155.81799999999998,394,975,0.3583410084247589,0.502,382,723,0.30593061447143555,89.1202589290009,13.038705823287604
8,267.0,0.267,0:00.267,163.97,502,1172,-0.4339770972728729,158.56400000000002,419,966,-0.509291410446167,5.856,383,718,-0.436406672000885,175.684,449,1154,0.2905634939670563,155.848,394,975,0.3581192195415497,0.7020000000000001,382,723,0.3059869408607483,90.0,16.45925161709808
9,300.0,0.3,0:00.300,163.88,502,1172,-0.4343021512031555,158.574,419,966,-0.5078887939453125,5.942000000000001,383,718,-0.4340643882751465,175.67,448,1154,0.29310745000839233,155.816,393,975,0.3623024821281433,0.9560000000000001,381,723,0.3104340732097626,90.0,21.57124465146284
10,333.0,0.333,0:00.333,163.982,503,1172,-0.4362342953681946,158.392,419,966,-0.5076277256011963,5.918,383,718,-0.4331037700176239,175.562,448,1154,0.29282906651496887,155.73600000000002,393,975,0.3608269989490509,0.968,381,722,0.30882155895233154,90.0,31.360281897270358
11,367.0,0.367,0:00.367,164.034,503,1172,-0.4351462721824646,158.16,419,965,-0.5041138529777527,5.864,384,718,-0.42820098996162415,175.358,447,1154,0.2960054874420166,155.676,392,976,0.36312565207481384,1.0459999999999998,381,722,0.31208541989326477,89.32670786731404,41.78528516705072
12,400.0,0.4,0:00.400,164.05200000000002,503,1172,-0.4271666407585144,157.92,419,966,-0.4972851872444153,5.764,386,718,-0.423211932182312,175.186,446,1153,0.2950025796890259,155.606,390,976,0.3619934618473053,0.994,379,722,0.3104999363422394,88.6907418433412,49.47602701039192
13,433.0,0.433,0:00.433,164.048,503,1173,-0.429841011762619,157.734,420,966,-0.49709293246269226,5.646000000000001,387,718,-0.4214053750038147,175.08200000000002,444,1153,0.29816415905952454,155.504,390,976,0.3616604506969452,0.8859999999999999,379,722,0.3109445869922638,88.08818434250453,55.42500326978036
14,467.0,0.467,0:00.467,163.978,503,1173,-0.4277624487876892,157.74200000000002,420,966,-0.49581480026245117,5.506,387,718,-0.42129838466644287,174.89000000000001,444,1153,0.2985314428806305,155.604,390,976,0.36338886618614197,0.77,380,722,0.31148022413253784,87.56767190200456,60.102047481223096
15,500.0,0.5,0:00.500,163.878,503,1173,-0.4197138547897339,157.888,420,965,-0.4906379282474518,5.3580000000000005,387,717,-0.41887399554252625,174.85399999999998,444,1153,0.29230690002441406,155.91199999999998,390,976,0.3632560074329376,0.756,381,721,0.3108614683151245,87.10954989347685,57.930764811610665
16,533.0,0.533,0:00.533,163.536,504,1173,-0.4515402019023895,157.73000000000002,420,961,-0.5098499655723572,5.18,388,717,-0.4291459321975708,174.744,441,1153,0.29435890913009644,156.16000000000003,390,976,0.3630046844482422,0.6439999999999999,381,721,0.3061824142932892,86.9938047803553,56.5057615418303
17,567.0000000000001,0.5670000000000001,0:00.567,162.8,506,1172,-0.4448222219944,157.206,421,958,-0.498418390750885,5.266,388,715,-0.41680657863616943,174.708,441,1153,0.31128907203674316,156.35,390,976,0.36843618750572205,0.53,381,721,0.31094756722450256,85.65660941571127,54.87974107099912
18,600.0,0.6,0:00.600,162.72,511,1155,-0.4363968074321747,156.61200000000002,423,954,-0.4969327449798584,6.128,389,715,-0.4175805151462555,174.656,441,1150,0.29579243063926697,155.844,390,975,0.3551446497440338,1.8800000000000001,380,721,0.30053332448005676,84.83416364676759,50.01883121781176
19,633.0,0.633,0:00.633,164.374,528,1146,-0.432353138923645,154.818,430,951,-0.5114310383796692,8.248000000000001,389,714,-0.4424908459186554,174.368,458,1144,0.2553307116031647,155.318,399,972,0.3306517004966736,3.25,380,721,0.2750835418701172,88.82548101451982,44.36888411881691
